,Airline,Source City,Destination City,Stops,Price,Duration_in_Minutes,Next_day_Arrival,Departure_Part_of_the_day,Arrival_Part_of_the_day,Day,Days_priors_booking
607,Vistara,Mumbai,Kolkata,1 Stop,8794.0,700.0,Yes,Night,Morning,Monday,2
608,Vistara,Mumbai,Kolkata,1 Stop,8794.0,740.0,No,Morning,Night,Monday,2
609,Vistara,Mumbai,Kolkata,1 Stop,8794.0,755.0,Yes,Eve,Early Morning,Monday,2
610,Vistara,Mumbai,Kolkata,1 Stop,8794.0,760.0,Yes,Eve,Morning,Monday,2
611,Vistara,Mumbai,Kolkata,1 Stop,8794.0,830.0,Yes,Eve,Early Morning,Monday,2
612,Vistara,Mumbai,Kolkata,1 Stop,8794.0,830.0,Yes,Eve,Morning,Monday,2
613,Vistara,Mumbai,Kolkata,1 Stop,8794.0,890.0,Yes,Eve,Early Morning,Monday,2
614,Vistara,Mumbai,Kolkata,1 Stop,8794.0,905.0,Yes,Eve,Morning,Monday,2
615,Vistara,Mumbai,Kolkata,1 Stop,8794.0,965.0,Yes,Eve,Morning,Monday,2
616,Vistara,Mumbai,Kolkata,1 Stop,8794.0,995.0,Yes,Noon,Early Morning,Monday,2
617,Vistara,Mumbai,Kolkata,1 Stop,8794.0,1060.0,Yes,Noon,Early Morning,Monday,2
618,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,610.0,Yes,Night,Early Morning,Monday,2
619,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,665.0,Yes,Night,Early Morning,Monday,2
620,IndiGo,Mumbai,Kolkata,1 Stop,9093.0,305.0,No,Noon,Night,Monday,2
621,IndiGo,Mumbai,Kolkata,1 Stop,9093.0,375.0,No,Noon,Night,Monday,2
622,IndiGo,Mumbai,Kolkata,1 Stop,9093.0,455.0,No,Noon,Night,Monday,2
623,IndiGo,Mumbai,Kolkata,1 Stop,9093.0,525.0,No,Noon,Night,Monday,2
624,IndiGo,Mumbai,Kolkata,1 Stop,9093.0,565.0,No,Morning,Night,Monday,2
625,IndiGo,Mumbai,Kolkata,1 Stop,9093.0,635.0,No,Morning,Night,Monday,2
626,IndiGo,Mumbai,Kolkata,1 Stop,9093.0,655.0,No,Morning,Night,Monday,2
627,IndiGo,Mumbai,Kolkata,1 Stop,9345.0,320.0,No,Noon,Eve,Monday,2
628,IndiGo,Mumbai,Kolkata,1 Stop,9345.0,430.0,No,Morning,Eve,Monday,2
629,IndiGo,Mumbai,Kolkata,1 Stop,9345.0,520.0,No,Morning,Eve,Monday,2
630,IndiGo,Mumbai,Kolkata,1 Stop,9461.0,315.0,No,Early Morning,Morning,Monday,2
631,IndiGo,Mumbai,Kolkata,1 Stop,9513.0,320.0,No,Morning,Noon,Monday,2
632,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,290.0,Yes,Eve,Late Night,Tuesday,3
633,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,475.0,Yes,Night,Early Morning,Tuesday,3
634,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,685.0,Yes,Eve,Early Morning,Tuesday,3
635,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,800.0,Yes,Morning,Late Night,Tuesday,3
636,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,805.0,Yes,Morning,Late Night,Tuesday,3
637,Go First,Mumbai,Kolkata,Non Stop,7412.0,155.0,Yes,Night,Late Night,Tuesday,3
638,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,255.0,No,Morning,Noon,Tuesday,3
639,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,260.0,No,Noon,Eve,Tuesday,3
640,Go First,Mumbai,Kolkata,1 Stop,7412.0,345.0,No,Early Morning,Noon,Tuesday,3
641,Go First,Mumbai,Kolkata,1 Stop,7412.0,345.0,No,Noon,Night,Tuesday,3
642,Go First,Mumbai,Kolkata,1 Stop,7412.0,790.0,Yes,Eve,Morning,Tuesday,3
643,Go First,Mumbai,Kolkata,1 Stop,7412.0,805.0,No,Early Morning,Night,Tuesday,3
644,Go First,Mumbai,Kolkata,1 Stop,7412.0,830.0,No,Early Morning,Eve,Tuesday,3
645,Go First,Mumbai,Kolkata,1 Stop,7412.0,840.0,Yes,Eve,Early Morning,Tuesday,3
646,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,910.0,Yes,Night,Morning,Tuesday,3
647,IndiGo,Mumbai,Kolkata,Non Stop,7413.0,145.0,Yes,Night,Late Night,Tuesday,3
648,Vistara,Mumbai,Kolkata,1 Stop,7413.0,225.0,No,Early Morning,Morning,Tuesday,3
649,Vistara,Mumbai,Kolkata,1 Stop,7413.0,250.0,No,Morning,Noon,Tuesday,3
650,IndiGo,Mumbai,Kolkata,Non Stop,7833.0,155.0,Yes,Night,Late Night,Tuesday,3
651,SpiceJet,Mumbai,Kolkata,1 Stop,8042.0,380.0,No,Noon,Eve,Tuesday,3
652,SpiceJet,Mumbai,Kolkata,1 Stop,8358.0,665.0,Yes,Night,Early Morning,Tuesday,3
653,Vistara,Mumbai,Kolkata,1 Stop,8794.0,315.0,No,Eve,Night,Tuesday,3
654,Vistara,Mumbai,Kolkata,1 Stop,8794.0,420.0,No,Noon,Night,Tuesday,3
655,Vistara,Mumbai,Kolkata,1 Stop,8794.0,460.0,No,Morning,Eve,Tuesday,3
656,Vistara,Mumbai,Kolkata,1 Stop,8794.0,485.0,No,Noon,Night,Tuesday,3
657,Vistara,Mumbai,Kolkata,1 Stop,8794.0,550.0,No,Morning,Eve,Tuesday,3
658,Vistara,Mumbai,Kolkata,1 Stop,8794.0,575.0,Yes,Night,Early Morning,Tuesday,3
659,Vistara,Mumbai,Kolkata,1 Stop,8794.0,625.0,Yes,Night,Early Morning,Tuesday,3
660,Vistara,Mumbai,Kolkata,1 Stop,8794.0,650.0,No,Early Morning,Eve,Tuesday,3
661,Vistara,Mumbai,Kolkata,1 Stop,8794.0,650.0,No,Morning,Night,Tuesday,3
662,Vistara,Mumbai,Kolkata,1 Stop,8794.0,650.0,Yes,Night,Morning,Tuesday,3
663,Vistara,Mumbai,Kolkata,1 Stop,8794.0,685.0,Yes,Eve,Early Morning,Tuesday,3
664,Vistara,Mumbai,Kolkata,1 Stop,8794.0,700.0,Yes,Night,Morning,Tuesday,3
665,Vistara,Mumbai,Kolkata,1 Stop,8794.0,725.0,No,Early Morning,Eve,Tuesday,3
666,Vistara,Mumbai,Kolkata,1 Stop,8794.0,740.0,No,Morning,Night,Tuesday,3
667,Vistara,Mumbai,Kolkata,1 Stop,8794.0,755.0,Yes,Eve,Early Morning,Tuesday,3
668,Vistara,Mumbai,Kolkata,1 Stop,8794.0,760.0,Yes,Eve,Morning,Tuesday,3
669,Vistara,Mumbai,Kolkata,1 Stop,8794.0,830.0,Yes,Eve,Early Morning,Tuesday,3
670,Vistara,Mumbai,Kolkata,1 Stop,8794.0,830.0,Yes,Eve,Morning,Tuesday,3
671,Vistara,Mumbai,Kolkata,1 Stop,8794.0,840.0,No,Early Morning,Night,Tuesday,3
672,Vistara,Mumbai,Kolkata,1 Stop,8794.0,890.0,Yes,Eve,Early Morning,Tuesday,3
673,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,305.0,No,Noon,Night,Tuesday,3
674,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,315.0,No,Early Morning,Morning,Tuesday,3
675,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,320.0,No,Morning,Noon,Tuesday,3
676,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,330.0,No,Noon,Eve,Tuesday,3
677,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,430.0,No,Morning,Eve,Tuesday,3
678,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,465.0,No,Noon,Night,Tuesday,3
679,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,515.0,No,Early Morning,Noon,Tuesday,3
680,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,520.0,No,Morning,Eve,Tuesday,3
681,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,565.0,No,Morning,Night,Tuesday,3
682,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,655.0,No,Morning,Night,Tuesday,3
683,Air India,Mumbai,Kolkata,2 Stop(s),8988.0,1125.0,Yes,Night,Noon,Tuesday,3
684,Air India,Mumbai,Kolkata,2 Stop(s),8988.0,1235.0,Yes,Eve,Noon,Tuesday,3
685,IndiGo,Mumbai,Kolkata,1 Stop,9513.0,375.0,No,Noon,Night,Tuesday,3
686,IndiGo,Mumbai,Kolkata,1 Stop,9513.0,535.0,No,Noon,Night,Tuesday,3
687,IndiGo,Mumbai,Kolkata,1 Stop,9513.0,610.0,Yes,Night,Early Morning,Tuesday,3
688,IndiGo,Mumbai,Kolkata,1 Stop,9513.0,635.0,No,Morning,Night,Tuesday,3
689,IndiGo,Mumbai,Kolkata,1 Stop,9513.0,665.0,Yes,Night,Early Morning,Tuesday,3
690,IndiGo,Mumbai,Kolkata,1 Stop,9671.0,510.0,No,Morning,Eve,Tuesday,3
691,Go First,Mumbai,Kolkata,2 Stop(s),9697.0,895.0,No,Early Morning,Night,Tuesday,3
692,Air India,Mumbai,Kolkata,1 Stop,9828.0,935.0,Yes,Noon,Early Morning,Tuesday,3
693,Air India,Mumbai,Kolkata,1 Stop,9828.0,1370.0,Yes,Morning,Early Morning,Tuesday,3
694,Air India,Mumbai,Kolkata,2 Stop(s),10156.0,675.0,No,Morning,Night,Tuesday,3
695,IndiGo,Mumbai,Kolkata,1 Stop,10353.0,620.0,No,Early Morning,Noon,Tuesday,3
696,IndiGo,Mumbai,Kolkata,1 Stop,10563.0,300.0,No,Eve,Night,Tuesday,3
697,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,475.0,Yes,Night,Early Morning,Wednesday,4
698,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,685.0,Yes,Eve,Early Morning,Wednesday,4
699,Air Asia,Mumbai,Kolkata,2 Stop(s),7410.0,925.0,No,Early Morning,Night,Wednesday,4
700,Go First,Mumbai,Kolkata,Non Stop,7412.0,160.0,No,Early Morning,Morning,Wednesday,4
701,Go First,Mumbai,Kolkata,Non Stop,7412.0,160.0,No,Night,Night,Wednesday,4
702,Go First,Mumbai,Kolkata,1 Stop,7412.0,345.0,No,Early Morning,Noon,Wednesday,4
703,Go First,Mumbai,Kolkata,1 Stop,7412.0,345.0,No,Noon,Night,Wednesday,4
704,Go First,Mumbai,Kolkata,1 Stop,7412.0,590.0,Yes,Night,Early Morning,Wednesday,4
705,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,740.0,No,Early Morning,Eve,Wednesday,4
706,Go First,Mumbai,Kolkata,1 Stop,7412.0,805.0,No,Early Morning,Night,Wednesday,4
707,Go First,Mumbai,Kolkata,1 Stop,7412.0,830.0,No,Early Morning,Eve,Wednesday,4
708,Go First,Mumbai,Kolkata,1 Stop,7412.0,840.0,Yes,Eve,Early Morning,Wednesday,4
709,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,1615.0,Yes,Night,Late Night,Wednesday,4
710,IndiGo,Mumbai,Kolkata,Non Stop,7413.0,150.0,No,Eve,Eve,Wednesday,4
711,IndiGo,Mumbai,Kolkata,Non Stop,7413.0,155.0,No,Late Night,Late Night,Wednesday,4
712,Vistara,Mumbai,Kolkata,Non Stop,7413.0,160.0,No,Early Morning,Morning,Wednesday,4
713,IndiGo,Mumbai,Kolkata,Non Stop,7413.0,160.0,No,Noon,Noon,Wednesday,4
714,Vistara,Mumbai,Kolkata,Non Stop,7413.0,165.0,No,Eve,Eve,Wednesday,4
715,IndiGo,Mumbai,Kolkata,Non Stop,7413.0,165.0,No,Eve,Night,Wednesday,4
716,IndiGo,Mumbai,Kolkata,Non Stop,7413.0,170.0,No,Early Morning,Morning,Wednesday,4
717,Vistara,Mumbai,Kolkata,Non Stop,7413.0,175.0,No,Noon,Noon,Wednesday,4
718,IndiGo,Mumbai,Kolkata,Non Stop,7413.0,180.0,No,Early Morning,Early Morning,Wednesday,4
719,Air Asia,Mumbai,Kolkata,Non Stop,7414.0,160.0,No,Noon,Eve,Wednesday,4
720,Air Asia,Mumbai,Kolkata,Non Stop,7414.0,165.0,No,Early Morning,Morning,Wednesday,4
721,Air India,Mumbai,Kolkata,Non Stop,8778.0,165.0,No,Eve,Night,Wednesday,4
722,Vistara,Mumbai,Kolkata,1 Stop,8794.0,315.0,No,Eve,Night,Wednesday,4
723,Vistara,Mumbai,Kolkata,1 Stop,8794.0,420.0,No,Noon,Night,Wednesday,4
724,Vistara,Mumbai,Kolkata,1 Stop,8794.0,460.0,No,Morning,Eve,Wednesday,4
725,Vistara,Mumbai,Kolkata,1 Stop,8794.0,485.0,No,Noon,Night,Wednesday,4
726,Vistara,Mumbai,Kolkata,1 Stop,8794.0,550.0,No,Morning,Eve,Wednesday,4
727,Vistara,Mumbai,Kolkata,1 Stop,8794.0,575.0,Yes,Night,Early Morning,Wednesday,4
728,Vistara,Mumbai,Kolkata,1 Stop,8794.0,625.0,Yes,Night,Early Morning,Wednesday,4
729,Vistara,Mumbai,Kolkata,1 Stop,8794.0,650.0,No,Early Morning,Eve,Wednesday,4
730,Vistara,Mumbai,Kolkata,1 Stop,8794.0,650.0,No,Morning,Night,Wednesday,4
731,Vistara,Mumbai,Kolkata,1 Stop,8794.0,650.0,Yes,Night,Morning,Wednesday,4
732,Vistara,Mumbai,Kolkata,1 Stop,8794.0,685.0,Yes,Eve,Early Morning,Wednesday,4
733,Vistara,Mumbai,Kolkata,1 Stop,8794.0,700.0,Yes,Night,Morning,Wednesday,4
734,Vistara,Mumbai,Kolkata,1 Stop,8794.0,725.0,No,Early Morning,Eve,Wednesday,4
735,Vistara,Mumbai,Kolkata,1 Stop,8794.0,740.0,No,Morning,Night,Wednesday,4
736,Vistara,Mumbai,Kolkata,1 Stop,8794.0,755.0,Yes,Eve,Early Morning,Wednesday,4
737,Vistara,Mumbai,Kolkata,1 Stop,8794.0,760.0,Yes,Eve,Morning,Wednesday,4
738,Vistara,Mumbai,Kolkata,1 Stop,8794.0,830.0,Yes,Eve,Early Morning,Wednesday,4
739,Vistara,Mumbai,Kolkata,1 Stop,8794.0,830.0,Yes,Eve,Morning,Wednesday,4
740,Vistara,Mumbai,Kolkata,1 Stop,8794.0,840.0,No,Early Morning,Night,Wednesday,4
741,Vistara,Mumbai,Kolkata,1 Stop,8794.0,890.0,Yes,Eve,Early Morning,Wednesday,4
742,Vistara,Mumbai,Kolkata,1 Stop,8794.0,905.0,Yes,Eve,Morning,Wednesday,4
743,Vistara,Mumbai,Kolkata,1 Stop,8794.0,915.0,No,Early Morning,Night,Wednesday,4
744,Vistara,Mumbai,Kolkata,1 Stop,8794.0,965.0,Yes,Eve,Morning,Wednesday,4
745,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,305.0,No,Noon,Night,Wednesday,4
746,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,315.0,No,Early Morning,Morning,Wednesday,4
747,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,320.0,No,Morning,Noon,Wednesday,4
748,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,320.0,No,Noon,Eve,Wednesday,4
749,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,375.0,No,Noon,Night,Wednesday,4
750,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,430.0,No,Morning,Eve,Wednesday,4
751,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,455.0,No,Noon,Night,Wednesday,4
752,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,515.0,No,Early Morning,Noon,Wednesday,4
753,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,520.0,No,Morning,Eve,Wednesday,4
754,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,525.0,No,Noon,Night,Wednesday,4
755,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,565.0,No,Morning,Night,Wednesday,4
756,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,635.0,No,Morning,Night,Wednesday,4
757,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,655.0,No,Morning,Night,Wednesday,4
758,Air India,Mumbai,Kolkata,2 Stop(s),8988.0,615.0,No,Early Morning,Noon,Wednesday,4
759,Air Asia,Mumbai,Kolkata,2 Stop(s),8988.0,810.0,No,Early Morning,Eve,Wednesday,4
760,SpiceJet,Mumbai,Kolkata,Non Stop,9198.0,155.0,No,Early Morning,Early Morning,Wednesday,4
761,IndiGo,Mumbai,Kolkata,1 Stop,9345.0,610.0,Yes,Night,Early Morning,Wednesday,4
762,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,475.0,Yes,Night,Early Morning,Thursday,5
763,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,685.0,Yes,Eve,Early Morning,Thursday,5
764,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,800.0,Yes,Morning,Late Night,Thursday,5
765,Go First,Mumbai,Kolkata,Non Stop,7412.0,155.0,Yes,Night,Late Night,Thursday,5
766,Go First,Mumbai,Kolkata,Non Stop,7412.0,160.0,No,Early Morning,Early Morning,Thursday,5
767,Go First,Mumbai,Kolkata,1 Stop,7412.0,230.0,No,Early Morning,Morning,Thursday,5
768,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,255.0,No,Morning,Noon,Thursday,5
769,Go First,Mumbai,Kolkata,1 Stop,7412.0,345.0,No,Early Morning,Noon,Thursday,5
770,Go First,Mumbai,Kolkata,1 Stop,7412.0,345.0,No,Noon,Night,Thursday,5
771,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,435.0,No,Morning,Noon,Thursday,5
772,Go First,Mumbai,Kolkata,1 Stop,7412.0,460.0,No,Morning,Eve,Thursday,5
773,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,505.0,No,Early Morning,Noon,Thursday,5
774,Go First,Mumbai,Kolkata,1 Stop,7412.0,590.0,Yes,Night,Early Morning,Thursday,5
775,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,635.0,Yes,Night,Early Morning,Thursday,5
776,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,665.0,Yes,Night,Early Morning,Thursday,5
777,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,685.0,No,Early Morning,Noon,Thursday,5
778,Go First,Mumbai,Kolkata,1 Stop,7412.0,790.0,Yes,Eve,Morning,Thursday,5
779,Go First,Mumbai,Kolkata,1 Stop,7412.0,805.0,No,Early Morning,Night,Thursday,5
780,Go First,Mumbai,Kolkata,1 Stop,7412.0,830.0,No,Early Morning,Eve,Thursday,5
781,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,880.0,Yes,Night,Morning,Thursday,5
782,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,910.0,Yes,Night,Morning,Thursday,5
783,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,1405.0,Yes,Night,Night,Thursday,5
784,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,1435.0,Yes,Night,Night,Thursday,5
785,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,1515.0,Yes,Night,Night,Thursday,5
786,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,1545.0,Yes,Night,Night,Thursday,5
787,IndiGo,Mumbai,Kolkata,Non Stop,7413.0,145.0,Yes,Night,Late Night,Thursday,5
788,IndiGo,Mumbai,Kolkata,Non Stop,7413.0,155.0,Yes,Night,Late Night,Thursday,5
789,Vistara,Mumbai,Kolkata,1 Stop,7413.0,225.0,No,Early Morning,Morning,Thursday,5
790,Vistara,Mumbai,Kolkata,1 Stop,7413.0,250.0,No,Morning,Noon,Thursday,5
791,Air India,Mumbai,Kolkata,1 Stop,7413.0,255.0,No,Early Morning,Morning,Thursday,5
792,Vistara,Mumbai,Kolkata,1 Stop,8794.0,315.0,No,Eve,Night,Thursday,5
793,Vistara,Mumbai,Kolkata,1 Stop,8794.0,420.0,No,Noon,Night,Thursday,5
794,Vistara,Mumbai,Kolkata,1 Stop,8794.0,460.0,No,Morning,Eve,Thursday,5
795,Vistara,Mumbai,Kolkata,1 Stop,8794.0,485.0,No,Noon,Night,Thursday,5
796,Vistara,Mumbai,Kolkata,1 Stop,8794.0,550.0,No,Morning,Eve,Thursday,5
797,Vistara,Mumbai,Kolkata,1 Stop,8794.0,575.0,Yes,Night,Early Morning,Thursday,5
798,Vistara,Mumbai,Kolkata,1 Stop,8794.0,625.0,Yes,Night,Early Morning,Thursday,5
799,Vistara,Mumbai,Kolkata,1 Stop,8794.0,650.0,No,Early Morning,Eve,Thursday,5
800,Vistara,Mumbai,Kolkata,1 Stop,8794.0,650.0,No,Morning,Night,Thursday,5
801,Vistara,Mumbai,Kolkata,1 Stop,8794.0,685.0,Yes,Eve,Early Morning,Thursday,5
802,Vistara,Mumbai,Kolkata,1 Stop,8794.0,725.0,No,Early Morning,Eve,Thursday,5
803,Vistara,Mumbai,Kolkata,1 Stop,8794.0,740.0,No,Morning,Night,Thursday,5
804,Vistara,Mumbai,Kolkata,1 Stop,8794.0,830.0,Yes,Eve,Early Morning,Thursday,5
805,Vistara,Mumbai,Kolkata,1 Stop,8794.0,840.0,No,Early Morning,Night,Thursday,5
806,Vistara,Mumbai,Kolkata,1 Stop,8794.0,890.0,Yes,Eve,Early Morning,Thursday,5
807,Vistara,Mumbai,Kolkata,1 Stop,8794.0,915.0,No,Early Morning,Night,Thursday,5
808,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,305.0,No,Noon,Night,Thursday,5
809,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,315.0,No,Early Morning,Morning,Thursday,5
810,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,320.0,No,Morning,Noon,Thursday,5
811,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,375.0,No,Noon,Night,Thursday,5
812,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,430.0,No,Morning,Eve,Thursday,5
813,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,515.0,No,Early Morning,Noon,Thursday,5
814,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,520.0,No,Morning,Eve,Thursday,5
815,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,565.0,No,Morning,Night,Thursday,5
816,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,610.0,Yes,Night,Early Morning,Thursday,5
817,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,635.0,No,Morning,Night,Thursday,5
818,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,655.0,No,Morning,Night,Thursday,5
819,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,665.0,Yes,Night,Early Morning,Thursday,5
820,Air India,Mumbai,Kolkata,1 Stop,8988.0,650.0,Yes,Night,Early Morning,Thursday,5
821,Air India,Mumbai,Kolkata,1 Stop,8988.0,760.0,Yes,Eve,Early Morning,Thursday,5
822,Air India,Mumbai,Kolkata,1 Stop,8988.0,1580.0,Yes,Early Morning,Early Morning,Thursday,5
823,Vistara,Mumbai,Kolkata,1 Stop,9109.0,650.0,Yes,Night,Morning,Thursday,5
824,Vistara,Mumbai,Kolkata,1 Stop,9109.0,700.0,Yes,Night,Morning,Thursday,5
825,Vistara,Mumbai,Kolkata,1 Stop,9109.0,760.0,Yes,Eve,Morning,Thursday,5
826,Vistara,Mumbai,Kolkata,1 Stop,9109.0,905.0,Yes,Eve,Morning,Thursday,5
827,Air Asia,Mumbai,Kolkata,1 Stop,7360.0,255.0,No,Noon,Eve,Saturday,7
828,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,290.0,Yes,Eve,Late Night,Saturday,7
829,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,320.0,Yes,Eve,Late Night,Saturday,7
830,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,325.0,Yes,Eve,Late Night,Saturday,7
831,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,475.0,Yes,Night,Early Morning,Saturday,7
832,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,500.0,Yes,Noon,Late Night,Saturday,7
833,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,545.0,No,Morning,Night,Saturday,7
834,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,565.0,Yes,Night,Early Morning,Saturday,7
835,Air Asia,Mumbai,Kolkata,2 Stop(s),7410.0,640.0,Yes,Noon,Late Night,Saturday,7
836,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,685.0,Yes,Eve,Early Morning,Saturday,7
837,Air Asia,Mumbai,Kolkata,1 Stop,7410.0,720.0,Yes,Eve,Early Morning,Saturday,7
838,Go First,Mumbai,Kolkata,Non Stop,7412.0,160.0,No,Early Morning,Early Morning,Saturday,7
839,Go First,Mumbai,Kolkata,1 Stop,7412.0,220.0,No,Eve,Night,Saturday,7
840,Go First,Mumbai,Kolkata,1 Stop,7412.0,230.0,No,Early Morning,Morning,Saturday,7
841,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,255.0,No,Morning,Noon,Saturday,7
842,Go First,Mumbai,Kolkata,1 Stop,7412.0,345.0,No,Early Morning,Noon,Saturday,7
843,Go First,Mumbai,Kolkata,1 Stop,7412.0,415.0,No,Noon,Night,Saturday,7
844,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,435.0,No,Morning,Noon,Saturday,7
845,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,505.0,No,Early Morning,Noon,Saturday,7
846,Go First,Mumbai,Kolkata,1 Stop,7412.0,590.0,Yes,Night,Early Morning,Saturday,7
847,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,685.0,No,Early Morning,Noon,Saturday,7
848,Go First,Mumbai,Kolkata,1 Stop,7412.0,830.0,No,Early Morning,Eve,Saturday,7
849,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,1290.0,Yes,Noon,Noon,Saturday,7
850,SpiceJet,Mumbai,Kolkata,1 Stop,7412.0,1470.0,Yes,Noon,Noon,Saturday,7
851,IndiGo,Mumbai,Kolkata,1 Stop,7413.0,300.0,No,Eve,Night,Saturday,7
852,IndiGo,Mumbai,Kolkata,1 Stop,7413.0,315.0,No,Early Morning,Morning,Saturday,7
853,IndiGo,Mumbai,Kolkata,1 Stop,7413.0,320.0,No,Early Morning,Morning,Saturday,7
854,IndiGo,Mumbai,Kolkata,1 Stop,7413.0,365.0,No,Early Morning,Noon,Saturday,7
855,IndiGo,Mumbai,Kolkata,1 Stop,7413.0,590.0,No,Morning,Night,Saturday,7
856,IndiGo,Mumbai,Kolkata,1 Stop,7413.0,610.0,Yes,Night,Early Morning,Saturday,7
857,IndiGo,Mumbai,Kolkata,1 Stop,7413.0,665.0,Yes,Night,Early Morning,Saturday,7
858,IndiGo,Mumbai,Kolkata,1 Stop,7413.0,695.0,No,Early Morning,Eve,Saturday,7
859,SpiceJet,Mumbai,Kolkata,1 Stop,7728.0,1575.0,Yes,Night,Late Night,Saturday,7
860,SpiceJet,Mumbai,Kolkata,1 Stop,7728.0,1605.0,Yes,Night,Late Night,Saturday,7
861,IndiGo,Mumbai,Kolkata,1 Stop,8059.0,510.0,No,Morning,Eve,Saturday,7
862,Vistara,Mumbai,Kolkata,Non Stop,8778.0,160.0,No,Early Morning,Morning,Saturday,7
863,Vistara,Mumbai,Kolkata,1 Stop,8794.0,300.0,No,Morning,Noon,Saturday,7
864,Vistara,Mumbai,Kolkata,1 Stop,8794.0,390.0,No,Morning,Noon,Saturday,7
865,Vistara,Mumbai,Kolkata,1 Stop,8794.0,490.0,No,Early Morning,Noon,Saturday,7
866,Vistara,Mumbai,Kolkata,1 Stop,8794.0,565.0,No,Early Morning,Noon,Saturday,7
867,IndiGo,Mumbai,Kolkata,1 Stop,8831.0,305.0,No,Noon,Night,Saturday,7
